user,is_private,is_failure,is_root,is_success,command,ipaddress,date,target
user,0,1,0,0,0,141.98.10.63,2021-11-18 11:56:36,0
root,0,0,1,1,3,45.88.137.100,2021-11-18 12:53:59,1
root,0,0,1,1,2,45.88.137.100,2021-11-18 12:53:59,1
root,0,1,1,0,0,115.74.133.88,2021-11-18 13:44:17,0
sshd,0,1,0,0,0,116.110.121.105,2021-11-18 13:44:19,0
admin,0,0,0,1,5,171.252.186.149,2021-11-18 13:44:22,1
root,0,0,1,1,1,116.110.252.176,2021-11-18 13:44:22,1
uucp,0,0,0,1,0,116.110.5.165,2021-11-18 13:44:24,0
user,0,0,0,1,0,116.110.252.176,2021-11-18 13:44:25,0
support,0,1,0,0,0,171.252.186.149,2021-11-18 13:44:27,0
admin,0,0,1,1,5,116.110.121.105,2021-11-18 13:44:38,1
admin,0,0,0,1,3,115.74.133.88,2021-11-18 13:44:41,0
user,0,0,0,1,0,116.110.121.105,2021-11-18 13:44:48,0
config,0,0,0,1,2,116.110.121.105,2021-11-18 13:44:50,1
user1,0,1,0,0,0,116.110.121.105,2021-11-18 13:45:03,0
test,0,1,0,0,0,116.110.121.105,2021-11-18 13:45:09,0
admin,0,1,0,0,0,116.110.5.165,2021-11-18 13:45:10,0
helpdesk,0,1,0,1,1,171.252.186.149,2021-11-18 13:45:14,1
admin,0,0,0,1,3,116.110.5.165,2021-11-18 13:45:18,1
user1,0,1,0,0,0,116.110.121.105,2021-11-18 13:45:22,0
ftp,0,1,0,0,0,116.110.121.105,2021-11-18 13:45:26,0
system,0,1,0,0,0,116.110.252.176,2021-11-18 13:45:27,0
ubnt,0,1,0,0,0,116.110.121.105,2021-11-18 13:45:30,0
guest,0,1,0,1,4,116.110.5.165,2021-11-18 13:45:31,1
listd,0,1,0,0,0,116.110.121.105,2021-11-18 13:45:37,0
operator,0,1,0,0,0,171.252.186.149,2021-11-18 13:45:40,0
admin,0,1,0,0,0,116.110.121.105,2021-11-18 13:45:40,0
root,0,1,1,0,0,116.110.5.165,2021-11-18 13:45:47,0
zabbix,0,1,0,1,2,116.110.121.105,2021-11-18 13:45:52,1
admin,0,1,0,0,0,116.110.5.165,2021-11-18 13:45:57,0
admin,0,1,0,0,0,171.252.186.149,2021-11-18 13:45:59,0
julian,0,1,0,0,0,115.74.133.88,2021-11-18 13:52:43,0
root,0,1,1,1,3,45.88.137.253,2021-11-18 14:00:20,1
root,0,1,1,1,2,45.88.137.253,2021-11-18 14:00:21,1
root,0,1,1,0,0,45.88.137.253,2021-11-18 14:00:21,0
user,0,1,0,1,0,212.192.241.37,2021-11-18 14:08:49,0
user,0,1,0,0,0,141.98.10.63,2021-11-18 14:13:39,0
user,0,1,0,1,1,195.133.18.24,2021-11-18 14:15:44,1
user,0,1,0,1,2,195.133.18.24,2021-11-18 14:16:23,1
user,0,1,0,1,4,195.133.18.24,2021-11-18 14:17:02,1
user,0,1,0,1,0,209.141.44.165,2021-11-18 14:51:20,0
user,0,1,0,0,0,209.141.44.165,2021-11-18 14:52:13,0
user,0,1,0,0,0,195.133.18.210,2021-11-18 16:05:11,0
user,0,1,0,1,0,141.98.10.63,2021-11-18 16:19:39,0
user,0,1,0,1,0,209.141.43.8,2021-11-18 16:22:49,0
user,0,1,0,1,0,209.141.32.141,2021-11-18 17:15:12,0
root,0,0,1,1,0,195.3.147.47,2021-11-18 17:16:13,0
user,0,1,0,0,0,209.141.62.233,2021-11-18 19:14:30,1
user,0,1,0,1,1,205.185.119.112,2021-11-18 19:34:41,1
user,0,1,0,0,0,209.141.62.233,2021-11-18 20:22:24,0
